"tailnum","year","type","manufacturer","model","engines","seats","speed","engine"
"N342NW",1993,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,NA,"Turbo-fan"
"N343NB",2002,"Fixed wing multi engine","AIRBUS","A319-114",2,145,NA,"Turbo-fan"
"N343NW",1993,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,NA,"Turbo-fan"
"N34455",2012,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N34460",2012,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N344NW",1993,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,NA,"Turbo-fan"
"N345NW",1993,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,NA,"Turbo-fan"
"N345SA",1987,"Fixed wing multi engine","BOEING","737-3K2",2,149,NA,"Turbo-fan"
"N347NB",2002,"Fixed wing multi engine","AIRBUS","A319-114",2,145,NA,"Turbo-fan"
"N347NW",1993,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,NA,"Turbo-fan"
"N348NB",2002,"Fixed wing multi engine","AIRBUS","A319-114",2,145,NA,"Turbo-fan"
"N348NW",1993,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,NA,"Turbo-fan"
"N349NB",2002,"Fixed wing multi engine","AIRBUS","A319-114",2,145,NA,"Turbo-fan"
"N349NW",1996,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,NA,"Turbo-fan"
"N350NA",1993,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,NA,"Turbo-fan"
"N351NB",2002,"Fixed wing multi engine","AIRBUS","A319-114",2,145,NA,"Turbo-fan"
"N351NW",1997,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,NA,"Turbo-fan"
"N35204",2000,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N35236",1999,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N35260",2001,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N35271",2001,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N352NB",2002,"Fixed wing multi engine","AIRBUS","A319-114",2,145,NA,"Turbo-fan"
"N352NW",1998,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,NA,"Turbo-fan"
"N352SW",1990,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N353NB",2002,"Fixed wing multi engine","AIRBUS","A319-114",2,145,NA,"Turbo-fan"
"N353NW",1998,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,NA,"Turbo-fan"
"N353SW",1990,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N35407",2001,"Fixed wing multi engine","BOEING","737-924",2,191,NA,"Turbo-fan"
"N354NB",2002,"Fixed wing multi engine","AIRBUS","A319-114",2,145,NA,"Turbo-fan"
"N354NW",1998,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,NA,"Turbo-fan"
"N354SW",1991,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N355NB",2002,"Fixed wing multi engine","AIRBUS","A319-114",2,145,NA,"Turbo-fan"
"N355NW",1998,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,NA,"Turbo-fan"
"N355SW",1991,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N356NW",1998,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,NA,"Turbo-fan"
"N356SW",1991,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N357NB",2002,"Fixed wing multi engine","AIRBUS","A319-114",2,145,NA,"Turbo-fan"
"N357NW",1998,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,NA,"Turbo-fan"
"N357SW",1992,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N358NB",2003,"Fixed wing multi engine","AIRBUS","A319-114",2,145,NA,"Turbo-fan"
"N358NW",1998,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,NA,"Turbo-fan"
"N358SW",1992,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N359NB",2003,"Fixed wing multi engine","AIRBUS","A319-114",2,145,NA,"Turbo-fan"
"N359NW",1998,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,NA,"Turbo-fan"
"N359SW",1992,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N360HA",2016,"Fixed wing multi engine","AIRBUS","A330-243",2,377,NA,"Turbo-fan"
"N360NB",2003,"Fixed wing multi engine","AIRBUS","A319-114",2,145,NA,"Turbo-fan"
"N360NW",1998,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,NA,"Turbo-fan"
"N360SW",1992,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N361NW",1998,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,NA,"Turbo-fan"
"N361SW",1992,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N361VA",2013,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N36207",2000,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N36247",1999,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N36272",2001,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N36280",2003,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N362NB",2003,"Fixed wing multi engine","AIRBUS","A319-114",2,145,NA,"Turbo-fan"
"N362NW",1998,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,NA,"Turbo-fan"
"N362SW",1992,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N362VA",2016,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N363NB",2003,"Fixed wing multi engine","AIRBUS","A319-114",2,145,NA,"Turbo-fan"
"N363NW",1998,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,NA,"Turbo-fan"
"N363SW",1993,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N363VA",2016,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N36444",2010,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N36447",2012,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N36469",2013,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N36472",2013,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N36476",2013,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N364NB",2003,"Fixed wing multi engine","AIRBUS","A319-114",2,145,NA,"Turbo-fan"
"N364NW",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,NA,"Turbo-fan"
"N364VA",2016,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N365NB",2003,"Fixed wing multi engine","AIRBUS","A319-114",2,145,NA,"Turbo-fan"
"N365NW",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,NA,"Turbo-fan"
"N365VA",2016,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N366NB",2003,"Fixed wing multi engine","AIRBUS","A319-114",2,145,NA,"Turbo-fan"
"N366NW",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,NA,"Turbo-fan"
"N366SW",1993,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N367NW",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,NA,"Turbo-fan"
"N367SW",1993,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N368NB",2003,"Fixed wing multi engine","AIRBUS","A319-114",2,145,NA,"Turbo-fan"
"N368NW",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,NA,"Turbo-fan"
"N368SW",1993,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N369NB",2003,"Fixed wing multi engine","AIRBUS","A319-114",2,145,NA,"Turbo-fan"
"N369NW",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,NA,"Turbo-fan"
"N369SW",1993,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N370HA",2014,"Fixed wing multi engine","AIRBUS","A330-243",2,377,NA,"Turbo-fan"
"N370NB",2003,"Fixed wing multi engine","AIRBUS","A319-114",2,145,NA,"Turbo-fan"
"N370NW",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,NA,"Turbo-fan"
"N370SW",1993,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N371DA",1998,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N371NB",2003,"Fixed wing multi engine","AIRBUS","A319-114",2,145,NA,"Turbo-fan"
"N371NW",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,NA,"Turbo-fan"
"N37252",2000,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N37253",2000,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N37255",2000,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N37263",2001,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N37267",2001,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N37273",2001,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N37274",2002,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N37277",2002,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N37281",2003,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N37287",2004,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N37290",2004,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N372DA",1998,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N372NW",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,NA,"Turbo-fan"
"N372SW",1993,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N3730B",2000,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N3731T",2000,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N3732J",2000,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N3733Z",2000,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N3734B",2000,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N3735D",2000,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N3736C",2000,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N3737C",2000,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N3738B",2000,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N3739P",2000,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N373DA",1998,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N373HA",2014,"Fixed wing multi engine","AIRBUS","A330-243",2,377,NA,"Turbo-fan"
"N373NW",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,NA,"Turbo-fan"
"N373SW",1993,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N37408",2001,"Fixed wing multi engine","BOEING","737-924",2,191,NA,"Turbo-fan"
"N37409",2001,"Fixed wing multi engine","BOEING","737-924",2,191,NA,"Turbo-fan"
"N3740C",2000,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N37413",2008,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N37419",2008,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N3741S",2001,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N37420",2008,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N37422",2008,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N37427",2008,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N3742C",2001,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N37434",2009,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N37437",2009,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N3743H",2001,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N3744F",2001,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N37456",2012,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N3745B",2001,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N37462",2012,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N37464",2012,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N37465",2013,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N37466",2013,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N37468",2013,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N3746H",2001,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N37470",2013,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N37471",2013,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N37474",2013,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N3747D",2001,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N3748Y",2001,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N3749D",2001,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N374DA",1998,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N374HA",2014,"Fixed wing multi engine","AIRBUS","A330-243",2,377,NA,"Turbo-fan"
"N374NW",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,NA,"Turbo-fan"
"N374SW",1993,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N3750D",2001,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N3751B",2001,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N3752",2001,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N3753",2001,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N3754A",2001,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N3755D",2001,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N3756",2001,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N3757D",2001,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N3758Y",2001,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N3759",2001,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N375DA",1998,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N375HA",2015,"Fixed wing multi engine","AIRBUS","A330-243",2,377,NA,"Turbo-fan"
"N375NC",2002,"Fixed wing multi engine","AIRBUS","A320-212",2,182,NA,"Turbo-fan"
"N375SW",1993,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N3760C",2001,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N3761R",2001,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N3762Y",2001,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N3763D",2001,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N3764D",2001,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N3765",2001,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N3766",2001,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N3767",2001,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N3768",2002,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N3769L",2002,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N376DA",1999,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N376NW",2002,"Fixed wing multi engine","AIRBUS","A320-212",2,182,NA,"Turbo-fan"
"N376SW",1994,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N37700",2002,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N3771K",2002,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N3772H",2010,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N3773D",2010,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N377DA",1999,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N377NW",2003,"Fixed wing multi engine","AIRBUS","A320-211",2,182,NA,"Turbo-fan"
"N378DA",1999,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N378HA",2015,"Fixed wing multi engine","AIRBUS","A330-243",2,377,NA,"Turbo-fan"
"N378NW",2003,"Fixed wing multi engine","AIRBUS","A320-211",2,182,NA,"Turbo-fan"
"N378SW",1994,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N379DA",1999,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N379HA",2015,"Fixed wing multi engine","AIRBUS","A330-243",2,377,NA,"Turbo-fan"
"N379SW",1994,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N380DA",1999,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N380HA",2010,"Fixed wing multi engine","AIRBUS","A330-243",2,377,NA,"Turbo-fan"
"N380SW",1994,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N381DN",1999,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N381HA",2010,"Fixed wing multi engine","AIRBUS","A330-243",2,377,NA,"Turbo-fan"
"N38257",2000,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N38268",2001,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N382DA",1999,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N382HA",2010,"Fixed wing multi engine","AIRBUS","A330-243",2,377,NA,"Turbo-fan"
"N382SW",1994,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N383DN",1999,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N383HA",2011,"Fixed wing multi engine","AIRBUS","A330-243",2,377,NA,"Turbo-fan"
"N383SW",1994,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N38403",2001,"Fixed wing multi engine","BOEING","737-924",2,191,NA,"Turbo-fan"
"N38417",2008,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N38424",2008,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N38443",2010,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N38446",2012,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N38451",2012,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N38454",2012,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N38458",2012,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N38459",2012,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N38467",2013,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N38473",2013,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N384DA",1999,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N384HA",2011,"Fixed wing multi engine","AIRBUS","A330-243",2,377,NA,"Turbo-fan"
"N384SW",1994,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N385DN",1999,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N385HA",2012,"Fixed wing multi engine","AIRBUS","A330-243",2,377,NA,"Turbo-fan"
"N385SW",1994,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N386DA",1999,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N386HA",2012,"Fixed wing multi engine","AIRBUS","A330-243",2,377,NA,"Turbo-fan"
"N386SW",1994,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N387DA",2000,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N387SW",1994,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N388DA",2000,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N388HA",2012,"Fixed wing multi engine","AIRBUS","A330-243",2,377,NA,"Turbo-fan"
"N388SW",1994,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N389DA",2000,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N389HA",NA,"Fixed wing multi engine","AIRBUS","A330-243",2,377,NA,"Turbo-fan"
"N389SW",1994,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N390DA",2000,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N390HA",2013,"Fixed wing multi engine","AIRBUS","A330-243",2,377,NA,"Turbo-fan"
"N390SW",1994,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N391DA",2000,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N391HA",2013,"Fixed wing multi engine","AIRBUS","A330-243",2,377,NA,"Turbo-fan"
"N391SW",1994,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N392DA",2000,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N392HA",2013,"Fixed wing multi engine","AIRBUS","A330-243",2,377,NA,"Turbo-fan"
"N392SW",1994,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N393DA",2000,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N393HA",2013,"Fixed wing multi engine","AIRBUS","A330-243",2,377,NA,"Turbo-fan"
"N39415",2008,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N39416",2008,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N39418",2008,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N39423",2008,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N39450",2012,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N39461",2012,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N39463",2012,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N39475",2013,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N394DA",2000,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N394DL",1995,"Fixed wing multi engine","BOEING","767-324",2,269,NA,"Turbo-fan"
"N394SW",1994,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N395DN",2000,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N395HA",2013,"Fixed wing multi engine","AIRBUS","A330-243",2,377,NA,"Turbo-fan"
"N395SW",1994,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N396DA",2000,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N396HA",2014,"Fixed wing multi engine","AIRBUS","A330-243",2,377,NA,"Turbo-fan"
"N396SW",1994,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N39728",1999,"Fixed wing multi engine","BOEING","737-724",2,149,NA,"Turbo-fan"
"N397DA",2000,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N397SW",1995,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N398DA",2000,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N398SW",1995,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N399DA",2000,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-fan"
"N399HA",2014,"Fixed wing multi engine","AIRBUS","A330-243",2,377,NA,"Turbo-fan"
"N399WN",1995,"Fixed wing multi engine","BOEING","737-3H4",2,149,NA,"Turbo-fan"
"N400WN",2001,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N401UA",1993,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N401WN",2001,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N402AS",2012,"Fixed wing multi engine","BOEING","737-990ER",2,222,NA,"Turbo-fan"
"N402UA",1993,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N402WN",2001,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N403AS",2012,"Fixed wing multi engine","BOEING","737-990ER",2,222,NA,"Turbo-fan"
"N403UA",1993,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N403WN",2001,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N404UA",1993,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"N404WN",2001,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N405UA",1993,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
